Registration Number,Timestamp,IP
99220041253,2025-10-14 18:31:09.490609,172.20.0.153
99220041246,2025-10-14 18:31:54.517999,172.20.8.144
99220041252,2025-10-16 02:45:05.183326,10.2.14.13
99220041256,2025-10-16 02:48:26.499164,10.2.14.13
